Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
SELECT * FROM `sys` . `x$memory_by_host_by_current_bytes`,*,1,0,0,7086.90,7086.90,7086.90,2,2.0,2,2.0,2,0,2,0,07e110fa421b2fe51c1d2bf287bb98b95147586941ebde73ca3fbdcfd0987191
"SELECT * FROM `orders` LIMIT ?, ...",*,4,0,0,7026.70,2346.80,1756.60,2280,570.0,2280,570.0,0,0,0,0,9041f4930f5c64bc7c347900cc7767361e1cee2e123aeeeb52f7feaa7acaad7d
CREATE TABLE `combined_table` AS SELECT * FROM `customer` `c` JOIN `orders` `o` ON `o` . `customer_id` = `c` . `customer_id` JOIN `products` `p` ON `p` . `product_id` = `o` . `product_id`,,3,3,0,6941.40,4001.30,2313.80,0,0.0,0,0.0,0,0,0,0,3f029a32f31f1046b01778c63199e0bfa29a4e18f5fe4356a76b4b08e3c5ee69
SHOW COLLATION,*,2,0,0,6578.90,3818.70,3289.40,572,286.0,1226,613.0,2,0,572,0,f547ffac4814e362ef0421e4a45a6137d4be89fbb5ba419e1813d13647bcb53a
SHOW INDEXES FROM `shopeaze` . `combined_table`,,2,0,0,6528.60,3339.00,3264.30,0,0.0,44,22.0,2,0,0,0,0546f9f60f6ef830e6f347afdedc3f095c644a407234ebb6c53686be0ac06f1f
"SELECT * FROM `combined_table` LIMIT ?, ...",*,2,0,0,6438.60,3437.40,3219.30,1140,570.0,1140,570.0,0,0,0,0,56355a8c308ff7a6b7681dd4f1c2f3866dfb33ef8805fe7ac25ec3948be7f25a
SHOW INDEXES FROM `shopeaze` . `order_items`,,2,0,0,5964.80,4069.10,2982.40,0,0.0,24,12.0,2,0,0,0,eed1d1b8aae8e560ac4f854f3fc208c1b8ccd370f6dec0af9ff52ef5fd5febe6
SHOW INDEXES FROM `shopeaze` . `products.csv`,,2,0,0,5637.00,4217.60,2818.50,0,0.0,24,12.0,2,0,0,0,1ca95b6b099a4503fc20fc1a7b164d4a2a01e410816b79921bd5ce617945aa5f
SELECT * FROM `sys` . `x$memory_by_user_by_current_bytes`,*,1,0,0,5619.50,5619.50,5619.50,3,3.0,3,3.0,2,0,3,0,5d5c33042f678a69c0fcbc3a7f6fb8a82d0d4ea417733034415f462d8d3f9482
"SELECT SQL_TSI_MONTH ( `order_date` ) AS SQL_TSI_MONTH , `product_id` , SUM ( `order_sum` ) AS `total_revenue` FROM `orders` WHERE YEAR ( `order_date` ) = YEAR ( CURDATE ( ) - INTERVAL ? SQL_TSI_MONTH ) AND SQL_TSI_MONTH ( `order_date` ) = SQL_TSI_MONTH ( CURDATE ( ) - INTERVAL ? SQL_TSI_MONTH ) GROUP BY `product_id` , SQL_TSI_MONTH ( `order_date` ) ORDER BY `total_revenue` DESC LIMIT ?",*,2,0,0,5478.90,3165.50,2739.40,0,0.0,1140,570.0,2,0,0,0,607e13d796679ecf2ea2e1698b8560c40394ba23a481326de2d16f4f8064f4ce
SHOW COLLATION,*,2,0,0,5463.70,3727.30,2731.80,572,286.0,1226,613.0,2,0,572,0,f547ffac4814e362ef0421e4a45a6137d4be89fbb5ba419e1813d13647bcb53a
"INSERT INTO `products` ( `product_id` , `product_name` , `category` , `price` ) VALUES (...) /* , ... */",,2,0,0,5184.30,3090.90,2592.10,0,0.0,0,0.0,0,0,0,0,215292bfc9a38dcb8280cb4502cad72b4ca6ba275c3902af367c8dac05775921
SET `autocommit` = ?,,30,0,0,5113.40,299.20,170.40,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
SHOW INDEXES FROM `shopeaze` . `inventory`,,2,0,0,4901.00,3201.20,2450.50,0,0.0,26,13.0,2,0,0,0,4863e6085e25651edaa6d1347c3836162c2fb4b1eb4ee2a7c1c7047404f88a7f
SHOW GRANTS,,8,0,0,4900.00,3507.00,612.50,0,0.0,0,0.0,0,0,0,0,357c2f9945785534854aa7e387a6a8c95121e3b10a0e9ab1784bc0c45a34d47d
"SELECT SQL_TSI_MONTH ( `order_date` ) AS SQL_TSI_MONTH , `product_id` , SUM ( `order_sum` ) AS `total_revenue` FROM `orders` WHERE `order_date` >= DATE_SUB ( CURDATE ( ) , INTERVAL ? SQL_TSI_MONTH ) GROUP BY `product_id` , SQL_TSI_MONTH ( `order_date` ) ORDER BY `total_revenue` DESC LIMIT ?",*,1,0,0,4728.20,4728.20,4728.20,5,5.0,575,575.0,1,0,5,0,b64bd502e023e6c9e0a49dc6c5397b8749ca054aa46f823fa0c57cf61a78d1cb
SHOW VARIABLES,*,2,0,0,4467.90,2611.30,2233.90,1314,657.0,1314,657.0,2,0,0,0,9959c56ef11ca3c143a80d199705b5128cb5dfbbdc967225c4bd603595738aab
SELECT CURRENT_USER ( ),,28,0,0,4442.70,356.40,158.60,28,1.0,28,1.0,0,0,0,0,3eff569d77bf7e2ccb14bd593a390e6187f054f1435d6bed2f3b547f827e8992
SELECT * FROM `sys` . `x$memory_global_by_current_bytes`,*,1,0,0,4391.40,4391.40,4391.40,199,199.0,706,706.0,0,0,199,0,48ce73cdbb272f4f8d8381c781958438af4095494c9e95ed5ac471d0504d43e8
EXPLAIN `shopeaze` . `products`,,3,1,0,4208.10,1970.50,1402.70,8,3.0,44,15.0,2,0,8,0,e069269cd4438fd0a0568519ef3282df488c95ac2273a5fb61b3b1443ddca1cc
SELECT COUNT ( * ) FROM `performance_schema` . `setup_consumers` WHERE `enabled` = ?,*,2,0,0,4134.50,3807.40,2067.20,2,1.0,32,16.0,0,0,0,0,5234980376fcf2634aa1a603c7595a852c71bb491c74212e1a78fe2745ef1982
"SELECT `o` . `customer_id` , `c` . `customer_name` , AVG ( `o` . `order_sum` ) AS `avg_order_value` FROM `orders` `o` JOIN `customer` `c` ON `o` . `customer_id` = `c` . `id` GROUP BY `o` . `customer_id` , `c` . `customer_name` ORDER BY `avg_order_value` DESC LIMIT ?, ...",*,1,0,0,4118.40,4118.40,4118.40,50,50.0,1190,1190.0,1,0,50,0,697ae52689012e58ef46ca1c289f46c25b0bcc0aced793e0723be9d7199cc61a
SHOW CREATE TABLE `shopeaze` . `orders`,,6,0,0,4069.10,1547.70,678.10,0,0.0,0,0.0,0,0,0,0,6c9432ddf4ef9a5b690a0c84a9ad35604a1cc00a0b601acffc200506cf369d02
SHOW TRIGGERS FROM `shopeaze` LIKE ?,*,1,0,0,3983.50,3983.50,3983.50,0,0.0,50,50.0,1,0,0,0,88de319554638ebe251fc3d7f9d0fdd9b18eb1e468f6b93038d7d91ce50ae806
SHOW FULL FIELDS FROM `shopeaze` . `suppliers_data.csv`,,2,0,0,3978.10,2693.50,1989.00,22,11.0,100,50.0,2,0,22,0,6a460f63658191df5866b47aae7dc35650b962e870cd1b560e9e6934102ef00a
ROLLBACK,,37,0,0,3957.70,401.00,106.90,0,0.0,0,0.0,0,0,0,0,3e67fa9d38d82054e7fc01fe3ee8844dc76faaaefbd74d213a2af42e60e95520
SHOW INDEXES FROM `shopeaze` . `suppliers_data`,,1,0,0,3776.50,3776.50,3776.50,0,0.0,19,19.0,1,0,0,0,28d658ca03d5826d20181985c3079b5a7ebc8cf219a38ed15687a7a6b645afef
EXPLAIN `shopeaze` . `products.csv`,,5,1,0,3720.30,965.20,744.00,16,3.0,88,18.0,4,0,16,0,bafec2624a19d7a1fbc50a00a210038b3e9f98fb058bdbc605dde53bef617672
SHOW INDEX FROM `shopeaze` . `combined_table`,,3,0,0,3715.10,1341.20,1238.30,0,0.0,66,22.0,3,0,0,0,c359ee119ef9d5c1c13305614111b8613aa61e215dd90d14c267e47c94723ff0
"SELECT * FROM `combined_table` WHERE YEAR ( `order_date` ) = ? LIMIT ?, ...",*,1,0,0,3638.40,3638.40,3638.40,204,204.0,570,570.0,0,0,0,0,86bebbbb849b85e54ca51c8670f93dd7eb33cef75cdb8af6903e946b0dca3391
"SELECT SUM ( `order_sum` ) , `o` . `product_id` AS `order_product_id` , `p` . `product_name` FROM `orders` `o` JOIN `products` `p` ON `o` . `product_id` = `p` . `id` WHERE SQL_TSI_MONTH ( `order_date` ) = ? AND YEAR ( `order_date` ) = ? GROUP BY `o` . `product_id` , `p` . `product_name` ORDER BY SUM ( `order_sum` ) DESC LIMIT ?",*,1,0,0,3631.40,3631.40,3631.40,5,5.0,675,675.0,1,0,5,0,f05cc52a0fa16a2580b76fb547be46f4875f47b01245a0b5172935cb2c16a3fb
SHOW CREATE TABLE `shopeaze` . `suppliers_data.csv`,,4,0,0,3577.50,2211.50,894.30,0,0.0,0,0.0,0,0,0,0,f34153a345521062825c56f5423aca4803fdb3f0294af616178ad2cb5d3d92e7
CREATE TABLE `combined_table` AS SELECT * FROM `customer` `c` JOIN `orders` `o` ON `o` . `custmer_id` = `c` . `cosumter_id` JOIN `products` `p` ON `p` . `product_id` = `o` . `product_id`,,2,2,0,3575.80,2036.20,1787.90,0,0.0,0,0.0,0,0,0,0,0e68233da28bbd1a5b6f3b51d22db0a728eef7efec7b06747957a01db7b9be17
"SELECT ? AS ? , `TRIGGER_CATALOG` AS ? , `TRIGGER_SCHEMA` AS ? , `TRIGGER_NAME` AS ? FROM `information_schema` . `triggers` WHERE `trigger_schema` = ?",*,1,0,0,3487.70,3487.70,3487.70,0,0.0,50,50.0,0,0,0,0,d631cd139e1d00b625a62b313e16f6fce04aa29ad98ae12b20dd110815bec5f7
EXPLAIN `shopeaze` . `suppliers_data.csv`,,5,1,0,3456.40,863.40,691.20,30,6.0,144,29.0,4,0,30,0,39dfb9960a1ab46e977f0e5d6e3fefd70749c07263ade3c11f3e4ef6b1a11881
"SELECT `id` , `order_date` , `product_id` , `order_sum` , SQL_TSI_MONTH FROM `orders` WHERE `order_date` >= DATE_SUB ( CURDATE ( ) , INTERVAL ? SQL_TSI_MONTH ) GROUP BY `product_id` ORDER BY `order_sum` DESC LIMIT ?",,2,2,0,3382.50,2670.70,1691.20,0,0.0,0,0.0,0,0,0,0,e21302c562d65011cad58f87217050b5276ca9628b9eeba09fc8b0bb161c2644
SET NAMES ?,,26,0,0,3361.20,216.20,129.20,0,0.0,0,0.0,0,0,0,0,f602ce2b604742e053aebf598ab8704c3b804def2946274dff866e2679d8f9fa
SHOW CREATE TABLE `customer`,,5,0,0,3352.40,1068.70,670.40,0,0.0,0,0.0,0,0,0,0,4fd052a1a27c0d5fe0b5f2cea725feb7f509862475c9f650f5798567011d71c3
"INSERT INTO `products.csv` ( `product_id` , `product_name` , `category` , `price` ) VALUES (...) /* , ... */",,2,0,0,3344.80,1754.50,1672.40,0,0.0,0,0.0,0,0,0,0,f1d8fa7705a38a94159f7b33e7b8286819a21e11dc5d74cae38847f188896be7
"SELECT SUM ( `order_sum` ) , `product_id` FROM `orders` WHERE `order_date` LIKE ? GROUP BY `product_id` ORDER BY SUM ( `order_sum` ) DESC LIMIT ?, ...",*,2,0,0,3276.00,1877.40,1638.00,35,18.0,1175,588.0,2,0,35,0,0cc6fa244858281c84ae1412b243d424c7c2cd0530921c669af3ce02bc91c3e8
CREATE TABLE `combined_table` AS SELECT * FROM `customer` `c` JOIN `orders` `o` ON `o` . `customer_id` = `c` . `id` JOIN `products` `p` ON `p` . `id` = `o` . `product_id`,,1,1,0,3260.30,3260.30,3260.30,0,0.0,0,0.0,0,0,0,0,a2bfba2df35b93cc6956e27250c552d71835dffb743628077142e1a65cb12fc0
EXPLAIN `shopeaze` . `suppliers_data`,,3,1,0,3223.70,1511.80,1074.50,22,7.0,100,33.0,2,0,22,0,65952b855a3594017808093694aec6253cdffcd3e5f8d574596273b8518f9e1b
"SELECT SUM ( `order_sum` ) , `product_id` FROM `orders` WHERE SQL_TSI_MONTH ( `order_date` ) = ? AND YEAR ( `order_date` ) = ? GROUP BY `product_id` ORDER BY SUM ( `order_sum` ) DESC LIMIT ?",*,2,0,0,3163.70,1773.10,1581.80,5,3.0,1145,573.0,2,0,5,0,51e213974edccee99d4af799d1669ac9ec3cf6b34e1f833f6c972646d66b986f
"SELECT SUM ( `order_sum` ) , `o` . `product_id` AS `order_customer_id` , `p` . `product_name` FROM `orders` `o` JOIN `products` `p` ON `o` . `product_id` = `p` . `id` WHERE SQL_TSI_MONTH ( `order_date` ) = ? AND YEAR ( `order_date` ) = ? GROUP BY `o` . `product_id` , `p` . `product_name` ORDER BY SUM ( `order_sum` ) DESC LIMIT ?",*,1,0,0,3160.20,3160.20,3160.20,5,5.0,675,675.0,1,0,5,0,bcc07a9ee5e5ca3e7519fbf4cc675eb45f734819c51c8bfede30dc4172344758
"SELECT MAX ( `order_sum` ) , `order_date` , `product_id` FROM `orders` WHERE `order_date` LIKE ? GROUP BY `product_id` , `order_date` LIMIT ?, ...",*,2,0,0,3112.10,1759.00,1556.00,18,9.0,1140,570.0,2,0,0,0,b9be62941f8f32acc2717773262f8b65dbb2b4369bf4dc1e61dcfa0402d3c177
SELECT * FROM `performance_schema` . `setup_instruments`,*,1,0,0,3028.80,3028.80,3028.80,1253,1253.0,1253,1253.0,0,0,0,0,5e6fa192d33e781d6902d7c60b59e013307d1386d289d5b03e6bd5b1526c7183
SELECT `sys_version` FROM `sys` . `version`,,8,0,0,2908.80,797.50,363.60,8,1.0,16,2.0,8,0,0,0,d5483ab0e1343735b239e0f1cc57afef113d12d8617735410de021863b37725d
SELECT COUNT ( * ) FROM `performance_schema` . `threads`,*,2,0,0,2882.40,2681.70,1441.20,2,1.0,0,0.0,0,0,0,0,75513d712762efbf5a7ab465c192328abb171ae045ffd431bd699b0ec3520bbd
"SELECT SUM ( `order_sum` ) , `product_id` FROM `orders` WHERE SQL_TSI_MONTH ( `order_date` ) = ? AND YEAR ( `order_date` ) = ? GROUP BY `product_id` ORDER BY SUM ( `order_sum` ) DESC LIMIT ?, ...",*,2,0,0,2805.20,1568.40,1402.60,35,18.0,1175,588.0,2,0,35,0,8d628aeecf5e99fb5d7fb0b6f3e44dfd3b2e2807c4987910807d57eb2e6e4096
SHOW CREATE TABLE `shopeaze` . `orders`,,1,0,0,2669.20,2669.20,2669.20,0,0.0,0,0.0,0,0,0,0,6c9432ddf4ef9a5b690a0c84a9ad35604a1cc00a0b601acffc200506cf369d02
"SELECT SQL_TSI_MONTH ( `order_date` ) AS SQL_TSI_MONTH , `product_id` , SUM ( `order_sum` ) AS `total_revenue` FROM `orders` WHERE YEAR ( `order_date` ) = YEAR ( CURDATE ( ) - INTERVAL ? SQL_TSI_MONTH ) GROUP BY `product_id` , SQL_TSI_MONTH ( `order_date` ) ORDER BY `total_revenue` DESC LIMIT ?",*,1,0,0,2535.20,2535.20,2535.20,48,48.0,618,618.0,1,0,48,0,79c3b63d7103cc6779d00feff317b4dc6c5540e4cf81bd9fa9fa71e7c6df65b3
"SELECT * FROM `customer` JOIN `orders` ON `customer` . `id` = `orders` . `customer_id` LIMIT ?, ...",*,1,0,0,2492.50,2492.50,2492.50,570,570.0,1140,1140.0,0,0,0,0,b61280d400a8e5b6081a603898d6f1d4afc7167d37093dc79845d7a555559e88
SHOW SLAVE STATUS,,3,0,3,2457.60,2086.70,819.20,0,0.0,0,0.0,0,0,0,0,aeea8d14c430e6eaaf2ffc1c542f366c21a261cbe130323702b18c3c36cf92ae
"SELECT `t` . `PROCESSLIST_ID` , IF ( NAME = ?, ... , `t` . `PROCESSLIST_USER` ) `PROCESSLIST_USER` , `t` . `PROCESSLIST_HOST` , `t` . `PROCESSLIST_DB` , `t` . `PROCESSLIST_COMMAND` , `t` . `PROCESSLIST_TIME` , `t` . `PROCESSLIST_STATE` , `t` . `THREAD_ID` , `t` . `TYPE` , `t` . `NAME` , `t` . `PARENT_THREAD_ID` , `t` . `INSTRUMENTED` , `t` . `PROCESSLIST_INFO` , `a` . `ATTR_VALUE` FROM `performance_schema` . `threads` `t` LEFT OUTER JOIN `performance_schema` . `session_connect_attrs` `a` ON `t` . `processlist_id` = `a` . `processlist_id` AND ( `a` . `attr_name` IS NULL OR `a` . `attr_name` = ? ) WHERE `t` . `TYPE` != ?",*,2,0,0,2450.50,1779.50,1225.20,15,8.0,99,50.0,0,0,0,0,2b7209110db3e82dadb36394876e0af6b23071fe252a5549e3ea1a6f7e5233e1
SHOW INDEXES FROM `shopeaze` . `orders`,,2,0,0,2437.30,1490.80,1218.60,0,0.0,34,17.0,2,0,0,0,74352ed66e2b8bdde0b4c0de61832094281117d8cd6aefdc7d56d042b1d0b4c5
"SELECT SUM ( `order_sum` ) , `o` . `product_id` AS `order_customer_id` , `p` . `product_name` FROM `orders` `o` JOIN `products` `p` ON `o` . `product_id` = `p` . `product_id` WHERE SQL_TSI_MONTH ( `order_date` ) = ? AND YEAR ( `order_date` ) = ? GROUP BY `o` . `product_id` ORDER BY SUM ( `order_sum` ) DESC LIMIT ?",,5,5,0,2391.10,624.30,478.20,0,0.0,0,0.0,0,0,0,0,4189d4a190081fce7d65deeb4272eebd48df19592b1d98ea7a0d5cc3bc28ee53
CREATE TABLE `combined_table` AS SELECT * FROM `customer` `c` JOIN `orders` `o` ON `o` . `customer_id` = `c` . `costumer_id` JOIN `products` `p` ON `p` . `product_id` = `o` . `product_id`,,3,3,0,2346.90,919.40,782.30,0,0.0,0,0.0,0,0,0,0,fe884676ab2c3227b1325a5689d7c2c1a14d905c32a5de14b982f335387833f0
EXPLAIN SELECT * FROM `orders`,*,1,0,1,2279.10,2279.10,2279.10,1,1.0,0,0.0,0,0,0,0,b120a79c79f358775dfbc3aafa336790c3bd67bd71654130e148c8ed18c16184
CREATE TABLE `combined_table` AS SELECT * FROM `customer` `c` JOIN `orders` `o` ON `o` . `customer_id` = `c` . `id` JOIN `products` ON `products` . `id` = `o` . `product_id`,,1,1,0,2271.80,2271.80,2271.80,0,0.0,0,0.0,0,0,0,0,c3d990e58b78a4f5a125a6c5773bfff124fc86ca4f67726382478d62d157bb13
"SELECT `id` , `order_date` , `product_id` , `order_sum` FROM `orders` ORDER BY `order_sum` DESC LIMIT ?",*,1,0,0,2255.80,2255.80,2255.80,5,5.0,575,575.0,0,0,5,0,e823ef126fb832988ed7233e4d464787801cdf6ca146c8d2243c78132b5e9502
"SELECT `o` . `product_id` , `p` . `product_name` , SUM ( `o` . `order_sum` ) AS `total_order_sum` , ROW_NUMBER ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_row` , RANK ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_rank` , DENSE_RANK ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_dense_rank` FROM `orders` `o` JOIN `products` `p` ON `o` . `product_id` = `p` . `id` WHERE SQL_TSI_MONTH ( `o` . `order_date` ) = ? AND YEAR ( `o` . `order_date` ) = ? GROUP BY `o` . `product_id` , `p` . `product_name` ORDER BY `total_order_sum` DESC",*,1,0,0,2151.30,2151.30,2151.30,35,35.0,821,821.0,4,0,70,0,47c259e468c5e12269d3565ccef092ed2fb657788da7436773e8434759db5ec5
"SELECT `o` . `product_id` , `p` . `product_name` , SUM ( `o` . `order_sum` ) AS `total_order_sum` , ROW_NUMBER ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_row` , RANK ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_rank` , DENSE_RANK ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_dense_rank` FROM `orders` `o` JOIN `products` `p` ON `o` . `product_id` = `p` . `product_id` WHERE SQL_TSI_MONTH ( `o` . `order_date` ) = ? AND YEAR ( `o` . `order_date` ) = ? GROUP BY `o` . `product_id` , `p` . `product_name` ORDER BY `total_order_sum` DESC",,1,1,0,2037.80,2037.80,2037.80,0,0.0,0,0.0,0,0,0,0,aabd3685dcaf79472d0a08a5b93183199162deca700d206b3862f2f3877ea9b7
SELECT * FROM `performance_schema` . `performance_timers` WHERE `timer_frequency` IS NOT NULL AND `timer_resolution` IS NOT NULL AND `timer_overhead` IS NOT NULL ORDER BY `timer_name` ASC,*,1,0,0,1997.30,1997.30,1997.30,4,4.0,9,9.0,0,0,4,0,e8a125e3caf66414770ff2a04b4266196a7d50955617793a64d0c77640caa164
"SELECT MAX ( `order_sum` ) , `product_id` FROM `orders` GROUP BY `product_id` LIMIT ?, ...",*,1,0,0,1990.90,1990.90,1990.90,35,35.0,570,570.0,1,0,0,0,9d461dceab9d8126bd587c401cdc215d3df21b4824c4108ed0e14d50f7278d04
SET CHARACTER SET `utf8`,,14,0,0,1982.50,442.90,141.60,0,0.0,0,0.0,0,0,0,0,7fefc009e426d24935eca18b34c6829c935bc1d0697fe927f91fdfac6fde18b4
"SELECT YEAR ( `order_date` ) AS YEAR , SQL_TSI_MONTH ( `order_date` ) AS SQL_TSI_MONTH , SUM ( `order_sum` ) AS `total_sales` , LAG ( SUM ( `order_sum` ) ) OVER ( ORDER BY YEAR ( `order_date` ) , SQL_TSI_MONTH ( `order_date` ) ) AS `previous_month_sales` , LEAD ( SUM ( `order_sum` ) ) OVER ( ORDER BY YEAR ( `order_date` ) , SQL_TSI_MONTH ( `order_date` ) ) AS `next_month_sales` FROM `orders` GROUP BY YEAR ( `order_date` ) , SQL_TSI_MONTH ( `order_date` ) ORDER BY YEAR , SQL_TSI_MONTH",*,1,0,0,1975.00,1975.00,1975.00,5,5.0,580,580.0,5,0,10,0,0b9670eac3e1d221398097af8056e0cf81d0a72c8be833b7eee60fbb13509c4f
"SELECT * FROM `orders` WHERE `order_date` LIKE ? LIMIT ?, ...",*,1,0,0,1972.20,1972.20,1972.20,0,0.0,570,570.0,0,0,0,0,a57f36e547f7b3f2f9810558403a3b3c331a202f9f7098eec614076dd1a7de3a
"SELECT MAX ( `order_sum` ) , `product_id` FROM `orders` WHERE `order_date` LIKE ? GROUP BY `product_id` LIMIT ?, ...",*,1,0,0,1948.80,1948.80,1948.80,0,0.0,570,570.0,1,0,0,0,cd4c69131c12d654dc9c44223f2ace404b18a923c31d567bb4fce68592b4e571
"SELECT ? AS ? , `TABLE_CATALOG` AS ? , `TABLE_SCHEMA` AS ? , TABLE_NAME AS ? FROM `information_schema` . `views` WHERE `table_schema` = ?",,1,0,0,1945.20,1945.20,1945.20,0,0.0,2,2.0,0,0,0,0,b59aab18eb9c77e83f9b37864a4dcad0590af3794d18919a1d4eff4a595b6d9e
"EXPLAIN SELECT `o` . `product_id` , `p` . `product_name` , SUM ( `o` . `order_sum` ) AS `total_order_sum` , ROW_NUMBER ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_row` , RANK ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_rank` , DENSE_RANK ( ) OVER ( ORDER BY SUM ( `o` . `order_sum` ) DESC ) AS `_dense_rank` FROM `orders` `o` JOIN `products` `p` ON `o` . `product_id` = `p` . `id` WHERE SQL_TSI_MONTH ( `o` . `order_date` ) = ? AND YEAR ( `o` . `order_date` ) = ? GROUP BY `o` . `product_id` , `p` . `product_name` ORDER BY `total_order_sum` DESC",*,3,0,6,1924.80,760.20,641.60,6,2.0,0,0.0,0,0,0,0,7b9deeb0b8cc4709dd408b4f1af41bf02b76a94ad83ffb14f90803e3e4b083cb
"SELECT SUM ( `order_sum` ) , `order_date` , `product_id` FROM `orders` WHERE `order_date` LIKE ? && `product_id` GROUP BY `product_id` , `order_date` ORDER BY SUM ( `order_sum` ) LIMIT ?, ...",*,1,0,1,1905.20,1905.20,1905.20,18,18.0,588,588.0,1,0,18,0,8b6c4dcdcd5d2113cf249e5bbc2c30b5d8805eac16f230ca793b3f05f22472a5
"SELECT MAX ( `order_sum` ) , `order_date` , `product_id` FROM `orders` GROUP BY `product_id` , `order_date` LIMIT ?, ...",*,1,0,0,1891.50,1891.50,1891.50,524,524.0,570,570.0,1,0,0,0,85fbf679d71a9c8400c2c884c2efb3ecc5069058e2afa72fee6ecf9b7b37340c
SHOW CREATE TABLE `shopeaze` . `customer`,,3,0,0,1879.30,800.40,626.40,0,0.0,0,0.0,0,0,0,0,257c73e579432c9cf4e5c1ec25d7f612a25e67c622d9f8204eabf86f22b146b9
SET NAMES `utf8mb4`,,12,0,0,1875.30,285.30,156.20,0,0.0,0,0.0,0,0,0,0,6d631211d940af327fe3f82a008b908dc6cba3912cae61881353006e73354eee
"SELECT MAX ( `order_sum` ) , `order_date` , `product_id` FROM `orders` WHERE `order_date` LIKE ? GROUP BY `product_id` , `order_date` ORDER BY MAX ( `order_sum` ) LIMIT ?, ...",*,1,0,0,1779.20,1779.20,1779.20,18,18.0,588,588.0,1,0,18,0,2714782ba6b2fa2c1b40fd58e8985ba1738575235e52068b5da406573100d9ea
SHOW CREATE TABLE `shopeaze` . `products`,,3,0,0,1746.90,730.80,582.30,0,0.0,0,0.0,0,0,0,0,6811cc0646690326397b64741058558874b13bc6412760a81a8d0e2cb850caf2
SET NAMES `utf8`,,14,0,14,1716.90,341.40,122.60,0,0.0,0,0.0,0,0,0,0,13fcb9bac24560527e210ae59823ea393edcac9d7989014c15a54d4e64b2e3ea
"EXPLAIN SELECT `o` . `customer_id` , `c` . `customer_name` , `o` . `order_date` , `o` . `order_sum` , AVG ( `o` . `order_sum` ) OVER ( PARTITION BY `o` . `customer_id` ) AS `avg_order_value` FROM `orders` `o` JOIN `customer` `c` ON `o` . `customer_id` = `c` . `id` ORDER BY `o` . `customer_id` , `o` . `order_date`",*,2,0,4,1701.80,1196.00,850.90,4,2.0,0,0.0,2,0,0,0,c540a9bc9498e2382286ac2c28f3af2abc2274ca83f63d154387026f32b777ac
SHOW CREATE TABLE `inventory`,,4,0,0,1667.70,684.70,416.90,0,0.0,0,0.0,0,0,0,0,1f7b3fcbc283070889dccd81cf3b764202cbf7ae95dec17b2deb8d2c2aec8f39
"CREATE TABLE `combined_table` AS SELECT `c` . `id` AS `customer_customer_id` , `c` . `customer_name` , `c` . `email` , `c` . `join_date` , `o` . `id` AS `order_order_id` , `o` . `customer_id` AS `order_customer_id` , `o` . `order_date` , `o` . `product_id` AS `order_product_id` , `o` . `quantity` , `o` . `order_sum` , `p` . `id` AS `product_product_id` , `p` . `product_name` , `p` . `category` , `p` . `price` FROM `customer` `c` JOIN `orders` `o` ON `o` . `customer_id` = `customer_customer_id` JOIN `products` `p` ON `product_product_id` = `order_product_id`",,2,2,0,1624.40,849.80,812.20,0,0.0,0,0.0,0,0,0,0,bbc5f251670e85547abcb7fe3dcb1ba21d891d27be45398162e1945b4a375511
SHOW VARIABLES LIKE ?,*,1,0,0,1611.90,1611.90,1611.90,45,45.0,45,45.0,1,0,0,0,230e50b71157a47e34c64f86d958d304e42cc8bad0d5a345f7f60672da38222c
SELECT * FROM `performance_schema` . `setup_objects`,*,1,0,0,1579.70,1579.70,1579.70,20,20.0,20,20.0,0,0,0,0,61f56752fb1d580155763f3c5570869df153b7a1691a6573bed68974a286d4ee
SELECT @@`performance_schema`,,8,0,0,1455.50,251.30,181.90,8,1.0,8,1.0,0,0,0,0,48d06d86b583ece1b6a7ac4a0e7f258d15266bea0382ff8de286e65fbf284384
"INSERT INTO `products.csv` ( `customer_id` , `customer_name` , `email` , `join_date` ) VALUES (...) /* , ... */",,1,0,0,1417.50,1417.50,1417.50,0,0.0,0,0.0,0,0,0,0,d1487b26e0c74c96cdd18adca7142ba6b4f09eb5ffa929bcf445ca90ae80df29
SHOW INDEX FROM `shopeaze` . `customer`,,1,0,0,1405.50,1405.50,1405.50,2,2.0,19,19.0,1,0,2,0,778aecd4cdd6e18bf1fca326574ef6f1054ca379fa0c97a749d01d07190217b7
